count,SAB / CR,MFA,MAT,SALT,MAE,Course caps,Enrollment,wait listed,,Dept,Course,section,Combined AY 26-27,Professor First name,Professor Last name,,TERM,DAY,TIME,ROOM,NOTE / DATE,pull down ,DEAN NOTES,LAB FEE
1,,,,,,senior,,,,IL,IL 421,,Illustration Majors Studio  [anticipate 18 seniors],Devin,Harrington,,BFA FALL,M W,3:00-5:45,MAJOR SPACE,,,,
0.5,,,,,,SR MAJOR,,,,IL,IL 423,,Illustration Majors Studio,Devin,Harrington,,BFA SPRING,M TH,1:30-4:15,315,,,,
0,,,,,,0,,,,IL,IL 107,2,Portrait Drawing in Illustration: People and Animals,Devin ,Harrington,,BFA FALL,,,,,Course is cut,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,PH,PH 314,,Experimental Photography,Dylan,Hausthor,,BFA FALL,,,,Move to Spring,Course is cut,02/11 JK moved from Fall to Spring,
0,,,,,,15,,,,FN,FN 110,6,4D: Space & Temporality,Dylan,Hausthor,,BFA SPRING,,,,2/20,Prof changed,TC email,
,,0.5,,,,10,,,,MFA,MEL 874,2,Studio Seminar 1,Dylan,Hausthor,,MFA-SUM,TU,9:00-12:00,105,2,,,
,,0.5,,,,10,,,,MFA,MEL 876,2,Studio Seminar IV,Dylan,Hausthor,,MFA-SUM,TU,9:00-12:00,105,2,,,
1,,,,,,16,,,,PH,PH 314,,Experimental Photography,Dylan,Hausthor,,BFA SPRING,WED,12:00-5:30,013-025-412,3/10,,02/11 JK moved from Fall to Spring,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,20,,,,SEM,SEM 353,FA2,3YR Seminar: Fine Art Topics-Practice.  [anticipate 22 students over 2 sections],Adriane,Herman,,BFA FALL,TU FR,3:00-5:45,105,,,,
1,,,,,,18,,,,SEM,SEM 452,1,Senior Synthesis,Adriane,Herman,,BFA SPRING,M TH,1:30-2:45,7,,,,
,,1,,,,10,,M2,,MFA,MST 863,1,Studio Seminar: Professional Practices,Adriane,Herman,,MFA-FALL,X,X,Online,2,,,
